strategy,condition,sigma,k,t,misclick,index,name,chapter,bankCount,cells,gradients,run_separation,min_step,unpinned_runs,analytic_margin,effective_margin,provably_ambiguous,success_rate,mean_wrong_cells,mean_guesses
reason,noise-free control,0,0,0,0,1,Bar,First Steps,1,3,1,99.00,16.26,0,99.00,99.00,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,2,Post,First Steps,1,3,1,99.00,13.70,0,99.00,99.00,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,3,Beam,First Steps,1,4,1,99.00,15.95,0,99.00,99.00,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,4,Tower,First Steps,2,5,1,99.00,12.54,0,25.09,25.09,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,5,Rail,First Steps,2,6,1,99.00,9.75,0,19.51,19.51,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,6,Spine,First Steps,2,7,1,99.00,8.58,0,8.58,8.58,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,7,Domino,Two Strokes,2,6,2,15.79,13.62,0,21.87,21.87,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,8,Rails,Two Strokes,2,8,2,19.14,13.99,0,22.67,22.67,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,9,Corner,Two Strokes,3,7,2,11.41,9.42,0,9.42,9.42,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,10,Tee,Two Strokes,3,8,2,14.91,9.31,0,9.31,9.31,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,11,Cross,Two Strokes,3,9,2,14.02,8.74,0,8.74,8.74,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,12,Ell,Two Strokes,3,9,2,10.30,9.97,0,16.71,16.71,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,13,Track,Two Strokes,4,10,2,17.79,11.50,0,12.03,12.03,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,14,Hurdle,Two Strokes,4,7,2,16.68,11.39,0,11.39,11.39,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,15,Signpost,Two Strokes,4,9,2,12.86,8.52,0,8.52,8.52,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,16,Anvil,Two Strokes,4,9,2,13.24,8.38,0,8.38,8.38,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,17,Sword,Two Strokes,5,12,2,9.79,6.91,0,6.91,6.91,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,18,Hook,Two Strokes,5,9,2,13.81,11.38,0,11.38,11.38,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,19,Goalpost,Crossings,5,11,3,11.91,7.87,0,7.88,7.88,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,20,Table,Crossings,5,11,3,11.20,7.71,0,8.12,8.12,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,21,Chair,Crossings,6,9,3,14.02,9.54,0,9.54,9.54,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,22,Bed,Crossings,6,12,3,11.56,7.91,0,7.91,7.91,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,23,Frame,Crossings,6,14,4,12.58,8.31,0,15.06,15.06,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,24,Hammer,Crossings,6,13,3,7.91,7.91,0,7.91,7.91,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,25,Key,Crossings,7,10,3,12.31,8.63,0,8.63,8.63,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,26,Lamp,Crossings,7,13,3,12.24,7.43,0,7.43,7.43,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,27,Fork,Crossings,7,14,4,12.23,8.37,0,8.37,8.37,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,28,Swing,Crossings,8,12,4,11.12,8.50,0,8.50,8.50,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,29,Window,Crossings,8,16,5,7.69,7.72,0,7.69,7.69,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,30,Ladder,Crossings,8,12,4,8.17,7.72,0,7.78,7.78,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,31,Flag,Crossings,8,14,3,14.77,9.10,0,9.10,9.10,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,32,Rake,Crossings,9,17,5,10.50,6.43,0,6.43,6.43,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,33,House,Everyday Things,9,24,5,5.98,4.58,0,4.58,4.58,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,34,Boat,Everyday Things,9,17,5,9.17,6.40,0,6.40,6.40,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,35,Tree,Everyday Things,9,19,4,7.87,7.56,0,7.56,7.56,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,36,Rocket,Everyday Things,10,14,4,9.27,7.15,2,7.15,7.15,yes,0.1667,3.533,2.000
reason,noise-free control,0,0,0,0,37,Bridge,Everyday Things,10,17,3,8.98,6.29,0,6.29,6.29,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,38,Train,Everyday Things,10,21,5,9.14,7.67,0,7.67,7.67,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,39,Truck,Everyday Things,10,16,4,14.85,8.05,0,8.05,8.05,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,40,Clock,Everyday Things,11,19,5,11.26,5.96,0,6.42,6.42,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,41,Bell,Everyday Things,9,13,4,7.14,7.49,1,7.49,7.49,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,42,Cup,Everyday Things,12,16,4,13.35,7.26,1,7.26,7.26,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,43,Bottle,Everyday Things,12,22,6,6.92,6.66,0,6.92,6.92,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,44,Envelope,Everyday Things,12,21,5,7.56,7.47,0,7.47,7.47,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,45,Book,Everyday Things,12,24,5,6.89,6.22,0,6.22,6.22,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,46,Pencil,Everyday Things,13,19,3,15.36,8.10,0,8.10,8.10,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,47,Anchor,Everyday Things,13,17,5,4.46,4.91,3,4.46,4.46,yes,0.5167,1.933,1.000
reason,noise-free control,0,0,0,0,48,Wrench,Everyday Things,13,16,5,6.84,7.08,0,6.94,6.94,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,49,Candle,Everyday Things,10,12,3,12.87,8.73,1,8.73,8.73,no,1.0000,0.000,1.000
reason,noise-free control,0,0,0,0,50,Drum,Everyday Things,14,22,6,7.44,7.00,0,7.00,7.00,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,51,Camera,Everyday Things,14,26,6,6.75,6.58,0,6.67,6.67,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,52,Lantern,Everyday Things,15,21,5,7.55,7.03,0,7.22,7.22,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,53,Fish,Creatures,15,28,6,8.20,7.33,0,7.33,7.33,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,54,Crab,Creatures,13,20,6,9.62,7.21,0,7.21,7.21,no,1.0000,0.000,1.000
reason,noise-free control,0,0,0,0,55,Snail,Creatures,15,17,5,10.13,7.11,2,7.11,7.11,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,56,Bird,Creatures,13,21,6,7.17,7.59,0,7.34,7.34,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,57,Owl,Creatures,16,24,6,8.73,6.41,0,6.45,6.45,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,58,Cat,Creatures,13,16,6,8.99,9.72,3,8.99,8.99,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,59,Dog,Creatures,14,23,6,7.10,7.83,0,7.10,7.10,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,60,Bunny,Creatures,17,27,7,7.24,7.00,0,7.00,7.00,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,61,Frog,Creatures,12,16,6,8.75,6.89,2,7.45,7.45,yes,1.0000,0.000,1.000
reason,noise-free control,0,0,0,0,62,Turtle,Creatures,15,23,6,7.75,8.55,0,7.75,7.75,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,63,Whale,Creatures,17,25,5,8.16,7.00,0,7.00,7.00,no,1.0000,0.000,0.000
reason,noise-free control,0,0,0,0,64,Bee,Creatures,16,25,6,7.24,7.52,0,7.52,7.52,no,1.0000,0.000,0.000
